아이템명,획득확률,처음,끝
주문서 20칸 가방,0.0144498 ,0.4268272 ,0.4412770 
레전드 메이플 리프,0.0144498 ,0.4412770 ,0.4557268 
현명한 피노키오 코,0.0144498 ,0.4557268 ,0.4701766 
얼음결정 페이스페인팅,0.0144498 ,0.4701766 ,0.4846264 
행운의 피노키오 코,0.0144498 ,0.4846264 ,0.4990762 
민첩한 피노키오 코,0.0144498 ,0.4990762 ,0.5135260 
블러드 마스크,0.0144498 ,0.5135260 ,0.5279758 
힘센 피노키오 코,0.0192663 ,0.5279758 ,0.5472421 
금빛 각인의 인장,0.0192663 ,0.5472421 ,0.5665084 
긍정의 혼돈 주문서 30%,0.0192663 ,0.5665084 ,0.5857747 
긍정의 혼돈 주문서 50%,0.0144498 ,0.5857747 ,0.6002245 
놀라운 혼돈의 주문서 30%,0.0096332 ,0.6002245 ,0.6098577 
놀라운 혼돈의 주문서 40%,0.0096332 ,0.6098577 ,0.6194909 
놀라운 혼돈의 주문서 50%,0.0096332 ,0.6194909 ,0.6291241 
놀라운 혼돈의 주문서 60%,0.0096332 ,0.6291241 ,0.6387573 
놀라운 혼돈의 주문서 70%,0.0096332 ,0.6387573 ,0.6483905 
순백의 주문서 10%,0.0144498 ,0.6483905 ,0.6628403 
순백의 주문서 5%,0.0192663 ,0.6628403 ,0.6821066 
은빛 각인의 인장,0.0192663 ,0.6821066 ,0.7013729 
은빛 에디셔널 각인의 인장,0.0192663 ,0.7013729 ,0.7206392 
혼돈의 주문서 70%,0.0096332 ,0.7206392 ,0.7302724 
황금 망치 50%,0.0192663 ,0.7302724 ,0.7495387 
미라클 장갑 공격력 주문서 50%,0.0192663 ,0.7495387 ,0.7688050 
미라클 펫장비 공격력 주문서 50%,0.0192663 ,0.7688050 ,0.7880713 
미라클 악세서리 공격력 주문서 50%,0.0192663 ,0.7880713 ,0.8073376 
미라클 악세서리 마력 주문서 50%,0.0192663 ,0.8073376 ,0.8266039 
미라클 방어구 공격력 주문서 50%,0.0192663 ,0.8266039 ,0.8458702 
미라클 펫장비 마력 주문서 50%,0.0192663 ,0.8458702 ,0.8651365 
미라클 방어구 마력 주문서 50%,0.0192663 ,0.8651365 ,0.8844028 
악세서리 공격력 주문서 70%,0.0192663 ,0.8844028 ,0.9036691 
방어구 공격력 주문서 70%,0.0192663 ,0.9036691 ,0.9229354 
펫장비 공격력 주문서 70%,0.0192663 ,0.9229354 ,0.9422017 
방어구 마력 주문서 70%,0.0192663 ,0.9422017 ,0.9614680 
펫장비 마력 주문서 70%,0.0192663 ,0.9614680 ,0.9807343 
악세서리 마력 주문서 70%,0.0192663 ,0.9807343 ,1.0000006 
